KSID,Translated Recommend Reason
K000961019,"I think Keysight&#39;s product itself is wonderful. However, I don&#39;t think it&#39;s a good idea to charge for support. Even if it&#39;s an old product, if it&#39;s a Keysight product, I&#39;d like to get support for free."
K000962737,I would like to clarify the unclear points about the operation.
K000965462,Be able to meet deadlines
K000962995,"The recent sales response and the complexity of the support system billing system are unbearable, and no matter how good the product itself is, the negative aspects are strong."
K000965338,Troubleshooting and response speed
K000960562,Price is high.
K000964920,Speed and content of responses to technical questions.
K000964772,"I think the price of the equipment is high, but I think it&#39;s because of Keysight&#39;s technical capabilities."
K000962768,"Terrible and ill-conceived programming language for the hardware I bought.It took me many months to get your AWGs and digitizers working with the Python commands I use to control my quantum system.If you compare it to analogs, it&#39;s just heaven and earth."
K000962448,"Ignoring our budget timing, raising the maintenance cost."
K000959773,"I am a little worried about purchasing a measuring instrument. It is related to Keysight Care. Considering the maintenance cost after 5 years, we think that other companies&#39; products are better."
K000965255,"The delivery time is long, or the delivery will be delayed just before or after it has passed. The portal site is poor and unreliable."
K000964877,"・I think it is important to propose products/solutions that match user needs.・Especially for high-frequency measurement, after-sales service is important, and I feel that Keysight Care is an obstacle.・Recently, Keysight users have asked us about the performance, functions, after-sales service, etc. of other companies&#39; high-frequency measuring instruments.・Regarding VNA measurement, I feel that E-CAL is one of the reasons why researchers and developers are declining in quality (becoming measuring instrument operators).・We believe that round-robin testing and traceability are important for high-frequency measurement (especially millimeter waves) in the research and development field. It would be desirable to introduce such equipment."
K000960511,"I am satisfied with your product itself. The negative point is that there may not be a Japanese version of the detailed product description. There is also the problem of language ability here, but if there is an equivalent product made in Japan, I often choose the product made in Japan."
K000962859,high cost of calibration
K000961021,"Whether the request can be made correctly and promptly. For that reason, I think that the contents of the HP must be easy to understand."
K000963024,"I think that the product itself is very good, but the image of high maintenance costs is strong because the price changes frequently and rises each time."
K000964626,Especially because I feel that there are no characteristics such as &quot;good correspondence&quot; and &quot;good service&quot;.
K000959784,"Zero standby power consumption of power supply products (reverting to hardware input switches), quality certification after repairs, and restoration of products handled by measuring instrument dealers"
K000968850,"Instrument user interface, instrument performance"
K000958520,"Ordered an MSO upgrade kit for over $1,000 and was given an unusable license key. 6 months and it is still unresolved!"
K000970270,"DAQ970A cannot be adapted to WIN11 system, resulting in extremely inconvenient operation."
K000964645,The price is hard to beat.
K000966019,"Has a strong team, but poor timeliness;"
K000962087,non-intuitive use
K000959204,no reply
K000955808,"Just an expensive exchange and no repair for a 34465 that is only 4 years old. As a calibration service provider, we are often asked by customers which manufacturer is recommended.  Keysight bosher was always at the forefront."
K000958326,"Windows 11 was released in October 2021.  Our customers use Keysight and are asking when our software can support Windows 11, but Keysight doesn't list Windows 11 as a supported OS for your software.  I have asked support when Win11 would be supported, but have not received a specific answer."
K000959894,I notified Keysight about  errors in a document but received no follow-up. Errors haven't been fixed.
K000966852,Because it did not work on Windows 11
K000968434,Depends on product - no recommendation for high tech scopes. Furhermore bad experiences with no repairs of defective equipment.
K000969837,It is difficult to understand the amount
K000968374,"We have been using your company&#39;s products for more than 50 years, but it has become difficult to request technical support for measuring instruments, and our younger employees are only using part of the functions."
K000958276,"No Need. I already sent u an @ some weeks ago explaining u everything, without any feedback from ur side."
K000968023,Accuracy and UI usability
K000968784,"We have bought a second hand, yet very capable MXA signal analyzer.  The analyzer is equipped with an LTE license, but that does not cover the basic IQ demodulation (i.e. 89600 VSA) that is needed for our development. Unfortunately, it has proven virtually impossible to extend the SW options on the instrument, leaving us with nothing but a simple spectrum analyzer."
K000956049,No support (drivers) for windows 11 OS.
K000970021,No support during pre-purchase selection
K000967989,You serve only business as VAT only owners
K000956209,The Italian language is missing
K000969436,"Previously purchased BV licenses cannot be installed, there is no support. Another thing: the B2912B BenchVue license doesn't work. The status of the instrument is ""not supported"" in the BV framework. According to the informational materials, it should work. The local representation cannot help in this matter. And many more technical problems. Managing these with the local distributor requires hundreds of hours per year, which costs me more than the instruments themselves; and its effectiveness is very bad."
K000963762,I was informed that it does not support individual users.
K000961391,"When a security vulnerability issue was identified by our federal customer, no workable, that factored in time sensitivity, solution was provided.  We were promised a solution that never came to term - punted and punted.   We had to pullout our testplant solution from our framework and solution suite.  We were left to find an alternate solution."
K000959940,Have to pay for support for a product that was already paid for...
K000959959,"z.B. die Beschreibung zum Datenlogger DAQ 970A ist fehlerhaft, die Installation der Software ist ( trotz Admin-Rechte auf dem PC ) zu umständlich. (zu HP - Zeiten konnte man mit dem Ablaufplan den Datenlogger und die Software installieren und er war sofort einsatzbar)"
K000956156,"I would appreciate it if the schedule could be adjusted a little more flexibly. For example, transportation time, etc."
K000967112,I'm using the DMM 34465 and I'm really happy with that.  I used them very often with the PC and all was fine with Win10. Now my new Laptop have Win11. I can't manage any communication and no answer from Support since January (case 01256384).
K000963820,"Most of the time, if someone needs mesurement equipment, it is needed asap. As we all know, actually it could be difficult to deliver by order, but in some cases thats the only way to help costumers. Keysight was not able to deliver the mesurement equipment I needed in the right time."
K000926656,I have a simple question but can't get the answer.
K000925546,Very poor technical support.
K000923102,No or late response
K000921633,In the past few months really unreliable.
K000926343,The partner company&#39;s response to the production of zig to be used by Keysight is very poor. I haven&#39;t received it for 3-4 months now after ordering. Communication is also not good.
K000915344,"On the Keysight calibration & warranty contract services. It seems that Keysight is inefficient in keeping the genuine status or records on the calibration & warranty activities under the contract. Upon asking for the data or records, Keysight service team keep on making amendment after amendment when question further. This really make customer wonder how Keysight as a premium test & measurement leader handle customer data information and after sales service. I hope there are some room of improvement in this area."
K000922563,Customer service. I have been in Metrology for 30 years and have never met a Rep.  Sales sent me a quote. Then when i went to buy it. They said basically you can buy that. They didn't even try to help getting the right part number so i could buy it.   I am not trying to be negative but I just don't think you have name people say in the industry anymore.
K000923112,Ordering is now a mess with the split between resellers and direct purchase. Resellers don't have the concept of options to an instrument - and can't handle configured instrument bundles.
K000925334,getting an RMA and then having to go find the complete calibration results are both onerous tasks
K000914529,A utility cost a lot of money if buying from you and half the price (incl over seas freight) when buying from 3rd party.
K000926421,I sent the salesman a detailed set of requirements and the information and recommendation he sent back indicated that he did not read or comprehend what I was asking for.
K000923111,Inconvenient after sale
K000920239,ADS is terminated for no reason when running Microsoft Edge to view data while using ADS.
K000917101,"Active responses were not made in all areas such as quotation, purchase, and technical support, and the customer became like &#39;B&#39; to the extent that the customer had to evaluate and request several times. In the future, we plan to purchase equipment from other companies, except for items that must be purchased inevitably."
K000916626,"Long new equipment delivery time and not the best, not enough responsive-adequate sales regional support."
K000915466,"We find the ""technical"" work to be great and would get a rating of 8 or 9. The ""admin"" side leaves much to be desired and would get a rating of 0 or 1. An example of this - recently we were looking for quotes for calibration work. We reached out to three suppliers with Keysight being one of them. One supplier responded in approximately 5 hours, the second in 3 days. Keysight still had not responded in over two weeks."
K000924905,There is not customer support. Nobody answer questions either by e-mail or phone.
K000928155,The fan is too noisy
K000915219,"The device was sent back (via RS) due to manufacturing mistake in its screen. Keysight sent us the same Scope (serial number), with the same screen problem but with a new calibration form.  Really unprofessional behavior, not expected from a well known brand such as Keysight. The experience with your distributor RS was not great either, we ended up having to accept a new unit (but in this case without calibration) and pay a new calibration. It was the only option to meet pour commercial obligations."
K000924429,"The pricing structure for all the licenses, options, renewals, etc is an order of magnitude more complicated than any of your competitors.  Makes just getting a quote correct very difficult and time consuming."
K000917044,"I like Keysight equipment, but my recent support request  (Case ID 01207139)  has not been handled well. I have had no useful feedback.   I thought it was petty of Keysight not to provide the information I requested on another request (Case ID 01164772 - Release upgrade notes for obsolete 4285A).   The 4285A is obsolete, so I don’t see why Keysight should bother about a very small bit of information. The PNA-X is a very expensive supported item, but my request has been pretty much ignored.   Keysight did donate a CPU & hard didk to my customer at Bradford University, which was very generous. But the lack of recent firmware on your website is inexcusable."
K000915870,CofC recieved with material was not signed
K000917811,incomplete support
K000922438,There isn’t one single reason. Products are good.  But prices are not competitive. And major differences in global pricing make things more difficult for global organizations.
K000920309,"The account team is excellent however the pricing is not competitive with the market, and similar equipment if being provided as 50% less than Keysight pricing."
K000923422,"long calibration times, returned calibrated equipment isn't working (PXI), we asked for a self-disclosure for not accredit calibrations and the answer was no, please have a look on our homepage. that's very poor service"
K000915977,"Slow answers, no transparency recarding prices."
K000922245,Faster response for compliance documentation.
K000924069,"Really poor technical support. It's very hard to get in touch with engineers, and then we get condescending and incorrect answers to questions. Keysight technical support is the worst by far of any company I've ever worked with. The equipment itself is good though."
K000926026,Expensive
K000917440,"Unfortunately, our Keysight Care coverage expired so we were not able to get a response to our question, so that's a big negative. However, we were able to use the User's Forum and get a response from Dr. Dunsmore. However, while he pretty much confirmed what we are seeing, it does not sound like Keysight will be fixing what we believe to be a bug in the analyzer firmware."
K000925841,THere are Datalogger for thermocouples (Typ-K) which are easier to handle like CSM-mini-modul. For my use case the csm can by directly connected to CAN where I'm using INCA and have all data in one measurement file. Also the measurement ratio of CSM with 100ms is much mor faster than using the keysight which is getting slower the more channels will be used.  Please consider this answer is only for my usecase. I'm sure there are other usecases for wich the keysight might be better.
K000918414,Support for older products (ScineLab) are improvable. Support for SW/communication with controller was not good at all.
K000915102,The calibration and repair time is too long
K000928284,"In the past, it was the immovable measurement equipment No. 1, but when comparing today&#39;s Rohde equipment and Keysight equipment, we feel that Keysight equipment is not as good as before. Rather than being as bad as before, Rode&#39;s equipment has become so superior."
K000924598,Keysight instruments are very good. However some of the systems are very old. For instance the 3070 is a platform from 1990. It is hard to  perform maintenance on the hardware and the BTI platform looks and feels like it was created in a high school Java class. The competition is much more robust and user friendly. I encourage Keysight to get some modern software people to understand this platform then create a new environment from scratch and not band-aid over the top of bt-basic.
K000917355,"1. no specific details for repair done on equipment.  Consecutive repair require for DSA which point to similar hardware.  2. disappointed with Ecal module connector quality,  only few use and require repair,  why is there a need for technical evaluation cost when already stated is the connector issue ?"
K000921997,may not be able to get help
K000914551,Keysight N991x series field foxes cfg licenses are impossible to get.  Trying to contact keysight support or the cfg support desk leads no where.
K000922276,Equipment is good but the support system is terrible. Loose the computer and install a person.
K000918459,From June until now (December 2022) I'm busy updating the firmware of a FieldFox. The information that I receive is not consistent and every new contact person tells me another story. At this moment I'm waiting for the firmware. It's not possible to download older firmware from the Keysight Website.
K000925840,Very long time to get quote
K000925140,Lack of support and understanding of existing/legacy products (Ixia Hawkeye).
K000924393,Sometimes the support was not at high level as expected
K000927723,Once you made the deal you forgot about us. Your only concern is profits.
K000914188,Product performance
K000926841,"I think the sales person was good. In terms of the price of the product, I thought it would be difficult to use the successor machine in-house because of the company&#39;s integration process, such as lab integration in APAC in other countries, so I gave it a 5. If I had been able to secure a little more time in the lab, and had a lot of interaction with your company&#39;s engineers, I think I would have gotten a 7 or 8 rating."
K000926930,It means that there are times when it is good and sometimes it is not good to have some salespeople who are technically supportive and others who are not.
K000925060,"If there is an update regarding support information, etc., you can contact us."
K000927287,"While selling expensive equipment, support is provided for a fee."
K000926842,"We are having trouble with some devices and software, and we have asked them to investigate the cause, but there is no sign of a solution."
K000922068,Follow up on technical inquiries
K000922977,Because the response of the sales person is not very good unless a large amount of money is involved. I think the device is easy to use.
K000926262,"There was a case where the explanation of the need for repair was not clear when a problem occurred during the previous questionnaire + proofreading. I would like to see the risks of not doing repairs clearly stated. Also, even if it is a fixed-price repair, I would like you to explain the assumed cause and assumed measures in advance."
K000926154,Can you answer questions about the product
K000918972,Technical support for measuring instruments has deteriorated.
K000920982,quick response
K000923248,"Although it is the same for any manufacturer, the response to inquiries by e-mail is slow."
K000923235,"The support system used to be great, but now it&#39;s paid."
K000920972,Timely and continuous technical service
K000920612,Scheduled by Keysight. Delayed communication slowness. Lack of planning for delivery schedule
K000928020,sincere correspondence
K000913621,"There was an omission of an order. Very slow to respond (estimate, etc.)."
K000918667,It is a little negative that you can not continue to respond to customer support questions
K000926635,Please come to our company to pick it up and deliver it to us.
K000926257,"Operability of trigger settings, ease of handling probes, etc."
K000926759,"Regarding past purchases (8 around 2014), I was asked if I had a Keysight Care agreement or not, and I could not get a satisfactory answer. As a device seller, shouldn&#39;t CS be about responding to questions from users about sold items? I feel very angry at the response that they can&#39;t even answer questions because they can&#39;t continue to pay expenses other than the cost of the equipment."
K000927667,"When considering how to use the purchased device after purchase, the user-friendliness deteriorated because consultation on the application method was charged."
K000922660,Uncertainty about support
K000923089,Repair costs too high Insufficient explanation to Keysight Care
K000924803,"You were very responsive to our inquiries via email. Thank you. However, if you can call and talk with the person in charge, you will recognize it as a more familiar manufacturer. Since we are a trading company, we cannot introduce our customers&#39; products unless we know the product. We are always looking for manufacturers who can carefully explain their products in conversation with the person in charge."
K000922017,Can not deliver
K000917380,"Keysight were supposed to contact me about a psu costing 25000€, but for some reason you didn't think it was important enough with the sale. I bought a competing brand.  Then i actually bought a few keysight handheld DMMs to the lab. Without question, they are the worst DMM i have ever used as they are slow as hell."
K000919300,I’ve used a lot of stand alone equipment over during my career. And it’s always been great. But now I’m using a usb rf power sensor and the benchvue suite is just a lot for someone only using a single device. There used to be stand alone software for the power sensors and this was great and also had faster polling.  And I’ve just personally not had a great experience with benchvue
K000917411,We have none solved problems with BenchVue and it is difficult to install it.
K000923297,"I have been using Keysight’s instruments for more than 10 years, and I feel that the quality of the products is declining. The new network instrument purchased less than 3 months ago occasionally crashes, the new spectrum analyzer purchased less than 3 months ago, the power switch fails, and the lower limit of the indicators and specifications It&#39;s only a hair&#39;s breadth away, and it&#39;s not as good as a second-hand mobile phone a few years ago."
K000922153,"Having only overseas support is pretty much a show stopper for me, especially when working on US based projects."
K000923663,"While the problem got sorted, it took a long time and I had no idea of what was happening.  The update notifications, have zero insight into what the problem is or how time it might take"
K000921712,"I am disappointed of the price strategy, the quality of your products, the EoL standard of high end devices incl. equipment like pricey probes and finally the results from your support. It‘s becoming more unlikely that we are going to equip our laboratories with Keysight and so develops my opinion about ADS, EMPro."
K000926163,Poor response. I request quotes and sometimes never hear back or it’s a month or so later.  By then I bought a Anritsu or R&S.
K000918435,"High calibration costs, service, poor software, tester break down after software update"
K000928019,"My technical questions never got the answers I expected before I signed up for support. After joining the support, I got quick and accurate answers."
K000926156,two defect in in two year not functioning calibration in networkanalyzer
K000918071,horrible response time and very limted feedback
K000926230,politeness of service
K000918655,"・The maintenance costs for RF simulators (ADS, EMPro, etc.) are high, and it is absolutely unacceptable to raise prices every six months. If the price is to be raised for the purpose of adding functions or improving performance, it should be collected from the companies that use those functions. In the past, I talked to the sales person in charge about this, but they said that there was nothing that could be done on the Japanese side.・Measuring instruments are similarly expensive compared to other companies. Other companies (Rohde &amp; Schwarz) have standard features, but Keysight adds a price for each additional option.・The homepage is heavy and hard to see. And it is difficult to reach the desired page. For example, can you quickly reach the EEsof knowledge center of ADS or EMPro from the home page? I found it, but I wonder if there is a link in such a place. It used to be light, and I could quickly reach the desired page."
K000916164,Convoluted system you have for sending items in for calibration
K000921378,"The service is poor and slow, and it is not convenient for customers to contact you"
K000914833,not resolved the problem. even though authorised dealer.
K000918486,"Your software does not work. Your demo software works better. Your support team could not resolve the problem even though I paid for the software. Very, very bad business practice - unprofessional. You've slipped very, very far from the days of Hewlett Packard and REAL customer support."
K000922113,The sales and after sales service was hopeless. Took several weeks or months to complete and no one knew what was going on.
K000921867,Customer requests are Not soved
K000922086,"Because there are few opportunities to exchange information through conversation. I often attend web seminars, but the content is a little difficult."
K000927818,No monetary details are given for repairs.
K000920775,"Post-sales support used to be the BEST in the industry. Now that you have gone to a subscription model, even signing up for this merely puts you in a queue in which the priority is not to resolve the issue but to clear the ticket. As stated by one of your employees to me ""This isn't the old HP!"""
